_id,category,content,cleaned_tokens_ner,cleaned_tokens_stopwords,tokens
6477c375540bc5d16fa5e348,Timp liber,Spectacol zilele acestea pe Lacul Beliș din Munții Apuseni Pe întinderi mari suprafața înghețată a apei a fost gravată în mod natural un fenomen rar susțin cei care cunosc zona Când Dumnezeu se joacă cu natura niciun artist nu Îl poate egala spun reprezentanții Apuseni TransilvaniaDin cauza temperaturilor negative din ultima perioadă Lacul Beliș a înghețat În fotografiile surprinse zilele acestea de Raul Ghiran președintele Asociației Rescue Transilvania se poate observa cum pe luciul apei au apărut adevărate opere de artăCând Dumnezeu se joacă cu natura niciun artist nu Îl poate egala Cel mai bine o demonstrează expoziția la propriu a creației pe Lacul Beliș Forme impunătoare ca niște gravuri și absolut remarcabile realizate parcă în cele mai bine gândite tipare pastelează suprafața înghețată a apei E un spectacol dedicat privirii celor care trec prin zonă Merită să urcați în Apuseni pentru că peisajul de iarnă te îmbie E o poveste la tot pasul iar imaginile fac în mod real cât o mie de cuvinte spun reprezentanții Apuseni TransilvaniaLacul BelișFântânele este un lac artificial de acumulare situat la  de metri altitudine în Munții Gilăului județul Cluj A fost amenajat în perioada  cu scop hidroenergetic pe cursul râului Someșul Cald Are o suprafață de  km pătrați și măsoară  kilometri lungime  Editor   Izabela Zaharia,"[Spectacol, zilele, acestea, pe, Lacul, Beliș, din, Munții, Apuseni, Pe, întinderi, mari, suprafața, înghețată, a, apei, a, fost, gravată, în, mod, natural, un, fenomen, rar, susțin, cei, care, cunosc, zona, Când, Dumnezeu, se, joacă, cu, natura, niciun, artist, nu, Îl, poate, egala, spun, Apuseni, TransilvaniaDin, cauza, temperaturilor, negative, din, perioadă, Lacul, Beliș, a, înghețat, În, fotografiile, surprinse, de, Asociației, Rescue, Transilvania, se, poate, observa, cum, pe, luciul, apei, au, apărut, adevărate, opere, de, artăCând, Dumnezeu, se, joacă, cu, natura, niciun, artist, nu, Îl, poate, egala, Cel, mai, bine, o, demonstrează, expoziția, la, propriu, a, creației, pe, Lacul, Beliș, Forme, impunătoare, ca, niște, gravuri, și, absolut, remarcabile, realizate, parcă, în, cele, mai, bine, gândite, tipare, pastelează, suprafața, înghețată, a, apei, E, un, spectacol, dedicat, privirii, celor, care, trec, prin, zonă, Merită, să, urcați, în, Apuseni, pentru, că, peisajul, de, iarnă, te, îmbie, E, o, poveste, la, tot, pasul, iar, imaginile, fac, în, mod, real, cât, de, cuvinte, spun, Apuseni, TransilvaniaLacul, BelișFântânele, este, un, lac, artificial, de, acumulare, situat, la, de, metri, altitudine, în, Munții, Gilăului, județul, Cluj, A, fost, amenajat, în, perioada, cu, scop, hidroenergetic, pe, cursul, râului, Someșul, Cald, Are, o, suprafață, de, km, pătrați, și, măsoară, kilometri, lungime]","[Spectacol, zilele, Lacul, Beliș, Munții, Apuseni, întinderi, mari, suprafața, înghețată, apei, gravată, natural, fenomen, rar, susțin, cunosc, zona, Dumnezeu, joacă, natura, niciun, artist, egala, spun, Apuseni, TransilvaniaDin, cauza, temperaturilor, negative, perioadă, Lacul, Beliș, înghețat, fotografiile, surprinse, Asociației, Rescue, Transilvania, observa, luciul, apei, apărut, adevărate, opere, artăCând, Dumnezeu, joacă, natura, niciun, artist, egala, demonstrează, expoziția, propriu, creației, Lacul, Beliș, Forme, impunătoare, gravuri, absolut, remarcabile, realizate, gândite, tipare, pastelează, suprafața, înghețată, apei, spectacol, dedicat, privirii, trec, zonă, Merită, urcați, Apuseni, peisajul, iarnă, îmbie, poveste, pasul, imaginile, fac, real, cuvinte, spun, Apuseni, TransilvaniaLacul, BelișFântânele, lac, artificial, acumulare, situat, metri, altitudine, Munții, Gilăului, județul, Cluj, amenajat, perioada, scop, hidroenergetic, cursul, râului, Someșul, Cald, suprafață, km, pătrați, măsoară, kilometri, lungime]","[Spectacol, zi, lac, Beliș, munte, Apuseni, întindere, mare, suprafață, înghețat, apă, grava, natural, fenomen, rar, susține, cunosc, zonă, Dumnezeu, juca, natură, nici_un, artist, egală, spune, Apuseni, TransilvaniaDin, cauza, temperature, negativ, perioadă, lac, Beliș, înghețat, fotografie, surprins, asociație, Rescue, Transilvania, observa, luciu, apă, apărut, adevărat, operă, artăCând, Dumnezeu, juca, natură, nici_un, artist, egală, demonstra, expoziție, propriu, creație, lac, Beliș, Forme, impunătoar, grav, absolut, remarcabe, realizat, gândit, tipare, pastela, suprafață, înghețat, apă, spectacol, dedica, privir, trece, zonă, Merită, urca, Apuseni, peisaj, iarna, îmbie, poveste, pas, imagine, face, real, cuvânt, spune, Apuseni, transilvaniaLac, BelișFântânele, lac, artificial, acumulare, situa, metru, altitudine, munte, gilă, județ, Cluj, amenaja, perioadă, scop, hidroenergetic, curs, râu, Someșul, cald, suprafață, kilometru, pătrat, măsura, kilometru, lungime]"
6477c412540bc5d16fa5f233,Timp liber,Sezonul de schi din această iarnă se deschide în staiunea Straja cu ocazia Zilei Naionale  Decembrie stratul de zăpadă pe cele două pârtii care au fost deja pregătite depăind  de centimetriPârtiile Constantinescu i Platoul Soarelui au fost amenajate i vor fi deschise pe  decembrie Încercăm să finalizăm pregătirile i pe pârtia Mutu Stratul de zăpadă pe pârtii depăete  de centimetri din care zăpada naturală măsoară  centimetri iar diferena este zăpadă artificială Tunurile de zăpadă artificială au fost pornite încă din  noiembrie pentru a ne asigura că vom putea primi schiorii aa cum se cuvine a declarat mari pentru Agerpres cabanierul Emil Părău administratorul mai multor pârtii din StrajaÎn ceea ce privete instalaiile de transport pe cablu acestea sunt funcionale în totalitateOdată cu inaugurarea sezonului de schi la  decembrie va porni i telegondola din Lupeni spre StrajaTuritii care doresc să urce în staiunea Straja cu maina pot face acest lucru pe drumul judeean care pleacă din Lupeni carosabilul fiind în bună stareCei care preferă să ajungă în staiune cu telegondola îi pot lăsa mainile în parcarea de la staia de pornire a telegondolei în Lupeni sau în parcarea de la intrarea în Straja Editor   RK,"[Sezonul, de, schi, din, această, iarnă, se, deschide, în, staiunea, Straja, cu, ocazia, Zilei, Naionale, stratul, de, zăpadă, pe, cele, pârtii, care, au, fost, deja, pregătite, depăind, de, centimetriPârtiile, Constantinescu, i, Platoul, Soarelui, au, fost, amenajate, i, vor, fi, deschise, pe, decembrie, Încercăm, să, finalizăm, pregătirile, pe, pârtia, Mutu, Stratul, de, zăpadă, pe, pârtii, depăete, de, centimetri, din, care, zăpada, naturală, măsoară, centimetri, iar, diferena, este, zăpadă, artificială, Tunurile, de, zăpadă, artificială, au, fost, pornite, încă, din, pentru, a, ne, asigura, că, vom, putea, primi, schiorii, aa, cum, se, cuvine, a, declarat, mari, pentru, Agerpres, cabanierul, Emil, Părău, administratorul, mai, multor, pârtii, din, StrajaÎn, ceea, ce, privete, instalaiile, de, transport, pe, cablu, acestea, sunt, funcionale, în, totalitateOdată, cu, inaugurarea, sezonului, de, schi, la, decembrie, va, porni, i, telegondola, din, Lupeni, spre, StrajaTuritii, care, doresc, să, urce, în, staiunea, Straja, cu, maina, pot, face, acest, lucru, pe, drumul, judeean, care, pleacă, din, Lupeni, carosabilul, fiind, în, bună, stareCei, care, preferă, să, ajungă, în, staiune, cu, telegondola, îi, pot, lăsa, mainile, în, parcarea, de, la, staia, de, pornire, a, telegondolei, în, Lupeni, sau, în, parcarea, de, la, intrarea, în, Straja, Editor, RK]","[Sezonul, schi, iarnă, deschide, staiunea, Straja, ocazia, Zilei, Naionale, stratul, zăpadă, pârtii, pregătite, depăind, centimetriPârtiile, Constantinescu, Platoul, Soarelui, amenajate, deschise, decembrie, Încercăm, finalizăm, pregătirile, pârtia, Mutu, Stratul, zăpadă, pârtii, depăete, centimetri, zăpada, naturală, măsoară, centimetri, diferena, zăpadă, artificială, Tunurile, zăpadă, artificială, pornite, încă, asigura, putea, primi, schiorii, aa, cuvine, declarat, mari, Agerpres, cabanierul, Emil, Părău, administratorul, multor, pârtii, StrajaÎn, privete, instalaiile, transport, cablu, funcionale, totalitateOdată, inaugurarea, sezonului, schi, decembrie, porni, telegondola, Lupeni, StrajaTuritii, doresc, urce, staiunea, Straja, maina, lucru, drumul, judeean, pleacă, Lupeni, carosabilul, fiind, stareCei, preferă, ajungă, staiune, telegondola, lăsa, mainile, parcarea, staia, pornire, telegondolei, Lupeni, parcarea, intrarea, Straja, Editor, RK]","[sezon, schi, iarna, deschide, staiune, Straja, ocazie, Zilei, naional, strat, zăpada, pârtie, pregătit, depăi, centimetriPârtiile, Constantinescu, platou, Soarelui, amenaja, deschide, decembrie, Încercăm, finalizăm, pregătire, pârtie, Mutu, strat, zăpada, pârtie, depăet, centimetru, zăpadă, natural, măsura, centimetru, diferenă, zăpadă, artificial, Tunurile, zăpadă, artificial, porni, încă, asigura, putea, primi, schior, aa, cuveni, declarat, mare, Agerpres, cabanier, Emil, Părău, administrator, mult, pârtie, StrajaÎn, privete, instalaie, transport, cablue, funcional, totalitateOda, inaugurare, sezon, schi, decembrie, porni, telegondolă, Lupeni, StrajaTuritii, dori, urca, staiune, Straja, maina, lucru, drum, judeean, pleca, Lupeni, carosabil, fi, stareCei, prefera, ajung, staiune, telegondolă, lăsa, maini, parcare, staie, pornire, telegondolă, lupeni, parcare, intrare, Straja, Editor, RK]"
6477c41a540bc5d16fa5f2ca,Timp liber,Weekendul acesta vom avea parte de confruntări incendiare în cadrul Cupei MondialeCel mai așteptat meci este cu siguranță cel dintre Argentina și Mexic care are loc astăzi începând cu orele  În plus dacă pariezi pe admiralro te așteaptă o ofertă specială în Calendarul Admiral dedicat Cupei MondialeÎn cadrul campionatului Argentina a pierdut în fața Arabiei Saudite cu scorul  Lionel Messi a deschis scorul din penalty însă Șoimii Verzi au recuperat cu ajutorul lui Saleh Al Shehri și Salem Al DawsariCa urmare a victoriei neașteptate a Arabiei Saudite cea dea a în cadrul unui Campionat Mondial conducătorii țării au sărbătorit cu mare fast și au decretat zi liberă Miercuri  NoiembrieÎn ceea ce privește prestația Mexicului în meciul cu Polonia aceasta a înregistrat egalitate cu scorul de  Echipa poloneză ar fi putut câștiga acest meci dacă nu ar fi fost ratată lovitura de  metri de către Robert Lewandowski în cea dea doua reprizăUn alt meci de interes este cel de Duminică  Noiembrie de la orele  dintre Spania și Germania Spania a făcut show în meciul cu Costa Rica pe care la câștigat cu scorul  stabilind cel mai mare scor din campionat În timp ce Germania a fost înfrântă de Japonia cu scorul de  evoluția echipei antrenate de Hansi Flick a fost aspru criticată de către presa germană deoarece în Campionatul din Rusia a părăsit cupa din faza grupelorAre șanse Germania în detrimentul unei echipe ca Spania care a făcut spectacol în meciul cu Costa Rica să recupereze Vino pe admiralro și mizează pe echipa câștigătoarePe admiralro poți paria prematch sau live pe toate meciurile Campionatului Mondial Intră acum și puneți predicțiile,"[Weekendul, acesta, vom, avea, parte, de, confruntări, incendiare, în, cadrul, Cupei, MondialeCel, mai, așteptat, meci, este, cu, siguranță, cel, dintre, Argentina, și, Mexic, care, are, loc, începând, cu, orele, În, plus, dacă, pariezi, pe, admiralro, te, așteaptă, o, ofertă, specială, în, Calendarul, Admiral, dedicat, Cupei, MondialeÎn, cadrul, campionatului, Argentina, a, pierdut, în, fața, Arabiei, Saudite, cu, scorul, a, deschis, scorul, din, penalty, însă, Șoimii, Verzi, au, recuperat, cu, ajutorul, lui, DawsariCa, urmare, a, victoriei, neașteptate, a, Arabiei, Saudite, cea, dea, a, în, cadrul, unui, Campionat, Mondial, conducătorii, țării, au, sărbătorit, cu, mare, fast, și, au, decretat, zi, liberă, Miercuri, NoiembrieÎn, ceea, ce, privește, prestația, Mexicului, în, meciul, cu, Polonia, aceasta, a, înregistrat, egalitate, cu, scorul, de, Echipa, poloneză, ar, fi, putut, câștiga, acest, meci, dacă, nu, ar, fi, fost, ratată, lovitura, de, metri, de, către, în, cea, dea, doua, reprizăUn, alt, meci, de, interes, este, cel, de, de, la, orele, dintre, Spania, și, Germania, Spania, a, făcut, show, în, meciul, cu, Costa, Rica, pe, care, la, câștigat, cu, scorul, stabilind, cel, mai, mare, scor, din, campionat, În, timp, ce, Germania, a, fost, înfrântă, de, Japonia, cu, scorul, de, evoluția, echipei, antrenate, de, a, fost, aspru, criticată, de, către, presa, germană, deoarece, în, Campionatul, din, Rusia, a, părăsit, cupa, din, faza, grupelorAre, șanse, Germania, în, detrimentul, unei, echipe, ca, Spania, care, a, făcut, spectacol, în, meciul, cu, Costa, Rica, să, recupereze, Vino, pe, admiralro, și, mizează, pe, echipa, câștigătoarePe, admiralro, poți, paria, prematch, sau, live, pe, toate, meciurile, Campionatului, Mondial, Intră, acum, și, puneți, predicțiile]","[Weekendul, parte, confruntări, incendiare, cadrul, Cupei, MondialeCel, așteptat, meci, siguranță, Argentina, Mexic, loc, începând, orele, pariezi, admiralro, așteaptă, ofertă, specială, Calendarul, Admiral, dedicat, Cupei, MondialeÎn, cadrul, campionatului, Argentina, pierdut, fața, Arabiei, Saudite, scorul, deschis, scorul, penalty, însă, Șoimii, Verzi, recuperat, ajutorul, DawsariCa, urmare, victoriei, neașteptate, Arabiei, Saudite, dea, cadrul, Campionat, Mondial, conducătorii, țării, sărbătorit, fast, decretat, liberă, Miercuri, NoiembrieÎn, privește, prestația, Mexicului, meciul, Polonia, înregistrat, egalitate, scorul, Echipa, poloneză, putut, câștiga, meci, ratată, lovitura, metri, dea, doua, reprizăUn, meci, interes, orele, Spania, Germania, Spania, făcut, show, meciul, Costa, Rica, câștigat, scorul, stabilind, scor, campionat, Germania, înfrântă, Japonia, scorul, evoluția, echipei, antrenate, aspru, criticată, presa, germană, Campionatul, Rusia, părăsit, cupa, faza, grupelorAre, șanse, Germania, detrimentul, echipe, Spania, făcut, spectacol, meciul, Costa, Rica, recupereze, Vino, admiralro, mizează, echipa, câștigătoarePe, admiralro, poți, paria, prematch, live, meciurile, Campionatului, Mondial, Intră, puneți, predicțiile]","[Weekendul, parte, confruntare, incendiar, cadru, cupă, MondialeCel, aștepta, meci, siguranță, Argentina, Mexic, loc, începe, oră, pariez, admiralro, aștepta, ofertă, special, calendar, admiral, dedica, cupă, MondialeÎn, cadru, campionat, Argentina, pierde, față, arabie, Saudite, scor, deschide, scor, penalty, însă, Șoim, Verzi, recupera, ajutor, DawsariCa, urmare, victorie, neașteptat, arabie, saudite, da, cadru, campionat, mondial, conducător, țară, sărbătorit, fast, decretat, liber, Miercuri, NoiembrieÎn, privi, prestație, Mexicului, meci, Polonia, înregistrat, egalitat, scor, echipă, polonez, putea, câștiga, meci, rata, lovitură, metru, da, doi, reprizăUn, meci, interes, oră, Spania, Germania, Spania, face, show, meci, Costa, Rica, câștiga, scor, stabili, scor, campionat, Germania, înfrânt, Japonia, scor, evoluție, echipă, antrena, aspru, criticat, presă, german, campionat, Rusia, părăsi, cupă, fază, grupelorAre, șansă, Germania, detriment, echipă, Spania, face, spectacol, meci, Costa, Rica, recuperez, Vino, admiralro, miza, echipă, câștigătoarePe, admiralro, putea, parie, prematch, liv, meci, campionat, mondial, Intră, pune, predicțiă]"
